window,step,test_patient,train_shape,test_shape,train_lable_count,test_label_count,accuracy,f1_score,precision,recall,conf_matrix,clf_report,loss
200,20,G04,"(38905, 25)","(1470, 25)","{0.0: 28516, 1.0: 10389}","{1.0: 1029, 0.0: 441}",0.3353783190250397,0.3376358449459076,0.3353783190250397,0.3353783190250397,"[[389  49]
 [926 103]]","{'0': {'precision': 0.29581749049429656, 'recall': 0.8881278538812786, 'f1-score': 0.4438106103822019, 'support': 438}, '1': {'precision': 0.6776315789473685, 'recall': 0.1000971817298348, 'f1-score': 0.17442845046570704, 'support': 1029}, 'accuracy': 0.33537832310838445, 'macro avg': {'precision': 0.48672453472083255, 'recall': 0.4941125178055567, 'f1-score': 0.30911953042395446, 'support': 1467}, 'weighted avg': {'precision': 0.5636339165462468, 'recall': 0.33537832310838445, 'f1-score': 0.2548574798068282, 'support': 1467}}",2.736651659011841
200,20,G05,"(39417, 25)","(958, 25)","{0.0: 27999, 1.0: 11418}",{0.0: 958},0.9172775149345398,0.916825532913208,0.9172775149345398,0.9172775149345398,"[[876  79]
 [  0   0]]","{'0': {'precision': 1.0, 'recall': 0.9172774869109948, 'f1-score': 0.9568541780447842, 'support': 955}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'accuracy': 0.9172774869109948, 'macro avg': {'precision': 0.5, 'recall': 0.4586387434554974, 'f1-score': 0.4784270890223921, 'support': 955}, 'weighted avg': {'precision': 1.0, 'recall': 0.9172774869109948, 'f1-score': 0.9568541780447842, 'support': 955}}",0.20052915811538696
200,20,G06,"(39433, 25)","(942, 25)","{0.0: 28312, 1.0: 11121}","{0.0: 645, 1.0: 297}",0.7241746783256531,0.7225775122642517,0.7241746783256531,0.7241746783256531,"[[563  79]
 [180 117]]","{'0': {'precision': 0.7577388963660835, 'recall': 0.8769470404984424, 'f1-score': 0.8129963898916969, 'support': 642}, '1': {'precision': 0.5969387755102041, 'recall': 0.3939393939393939, 'f1-score': 0.4746450304259635, 'support': 297}, 'accuracy': 0.724174653887114, 'macro avg': {'precision': 0.6773388359381438, 'recall': 0.6354432172189182, 'f1-score': 0.6438207101588302, 'support': 939}, 'weighted avg': {'precision': 0.7068787942423389, 'recall': 0.724174653887114, 'f1-score': 0.7059779087827269, 'support': 939}}",0.7717993259429932
200,20,G07,"(38776, 25)","(1599, 25)","{0.0: 28683, 1.0: 10093}","{1.0: 1325, 0.0: 274}",0.27130326628685,0.2726666331291199,0.27130326628685,0.27130326628685,"[[ 227   44]
 [1119  206]]","{'0': {'precision': 0.1686478454680535, 'recall': 0.8376383763837638, 'f1-score': 0.28076685219542363, 'support': 271}, '1': {'precision': 0.824, 'recall': 0.15547169811320755, 'f1-score': 0.2615873015873016, 'support': 1325}, 'accuracy': 0.27130325814536344, 'macro avg': {'precision': 0.4963239227340267, 'recall': 0.4965550372484857, 'f1-score': 0.2711770768913626, 'support': 1596}, 'weighted avg': {'precision': 0.7127215326577959, 'recall': 0.27130325814536344, 'f1-score': 0.2648439796667509, 'support': 1596}}",1.1772080659866333
200,20,G08,"(34516, 25)","(5859, 25)","{0.0: 28491, 1.0: 6025}","{1.0: 5393, 0.0: 466}",0.07906420528888702,0.08406928926706314,0.07906420528888702,0.07906420528888702,"[[ 463    0]
 [5393    0]]","{'0': {'precision': 0.07906420765027322, 'recall': 1.0, 'f1-score': 0.1465421743946827, 'support': 463}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 5393}, 'accuracy': 0.07906420765027322, 'macro avg': {'precision': 0.03953210382513661, 'recall': 0.5, 'f1-score': 0.07327108719734135, 'support': 5856}, 'weighted avg': {'precision': 0.006251148931365523, 'recall': 0.07906420765027322, 'f1-score': 0.011586240905863746, 'support': 5856}}",0.8830022215843201
200,20,G09,"(39154, 25)","(1221, 25)","{0.0: 27736, 1.0: 11418}",{0.0: 1221},0.9852216839790344,0.9859374761581421,0.9852216839790344,0.9852216839790344,"[[1200   18]
 [   0    0]]","{'0': {'precision': 1.0, 'recall': 0.9852216748768473, 'f1-score': 0.9925558312655086, 'support': 1218}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'accuracy': 0.9852216748768473, 'macro avg': {'precision': 0.5, 'recall': 0.49261083743842365, 'f1-score': 0.4962779156327543, 'support': 1218}, 'weighted avg': {'precision': 1.0, 'recall': 0.9852216748768473, 'f1-score': 0.9925558312655085, 'support': 1218}}",0.052399978041648865
200,20,G11,"(39594, 25)","(781, 25)","{0.0: 28311, 1.0: 11283}","{0.0: 646, 1.0: 135}",0.9331619739532471,0.9180288314819336,0.9331619739532471,0.9331619739532471,"[[597  46]
 [  6 129]]","{'0': {'precision': 0.9900497512437811, 'recall': 0.9284603421461898, 'f1-score': 0.9582664526484752, 'support': 643}, '1': {'precision': 0.7371428571428571, 'recall': 0.9555555555555556, 'f1-score': 0.8322580645161289, 'support': 135}, 'accuracy': 0.9331619537275064, 'macro avg': {'precision': 0.8635963041933191, 'recall': 0.9420079488508727, 'f1-score': 0.895262258582302, 'support': 778}, 'weighted avg': {'precision': 0.9461648788740836, 'recall': 0.9331619537275064, 'f1-score': 0.9364012439108573, 'support': 778}}",0.1902163177728653
200,20,P231,"(38817, 25)","(1558, 25)","{0.0: 27399, 1.0: 11418}",{0.0: 1558},0.9987138509750366,0.9987499713897705,0.9987138509750366,0.9987138509750366,"[[1553    2]
 [   0    0]]","{'0': {'precision': 1.0, 'recall': 0.9987138263665595, 'f1-score': 0.9993564993564993, 'support': 1555}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'accuracy': 0.9987138263665595, 'macro avg': {'precision': 0.5, 'recall': 0.49935691318327974, 'f1-score': 0.49967824967824964, 'support': 1555}, 'weighted avg': {'precision': 1.0, 'recall': 0.9987138263665595, 'f1-score': 0.9993564993564992, 'support': 1555}}",0.01994946226477623
200,20,P351,"(34574, 25)","(5801, 25)","{0.0: 23156, 1.0: 11418}",{0.0: 5801},0.9460158944129944,0.9462568759918213,0.9460158944129944,0.9460158944129944,"[[5485  313]
 [   0    0]]","{'0': {'precision': 1.0, 'recall': 0.9460158675405312, 'f1-score': 0.972259150935035, 'support': 5798}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'accuracy': 0.9460158675405312, 'macro avg': {'precision': 0.5, 'recall': 0.4730079337702656, 'f1-score': 0.4861295754675175, 'support': 5798}, 'weighted avg': {'precision': 1.0, 'recall': 0.9460158675405312, 'f1-score': 0.972259150935035, 'support': 5798}}",0.08733584731817245
200,20,P379,"(38211, 25)","(2164, 25)","{0.0: 27461, 1.0: 10750}","{0.0: 1496, 1.0: 668}",0.850994884967804,0.850193202495575,0.850994884967804,0.850994884967804,"[[1443   50]
 [ 272  396]]","{'0': {'precision': 0.841399416909621, 'recall': 0.9665103817816477, 'f1-score': 0.8996259351620947, 'support': 1493}, '1': {'precision': 0.8878923766816144, 'recall': 0.592814371257485, 'f1-score': 0.710951526032316, 'support': 668}, 'accuracy': 0.8509949097639982, 'macro avg': {'precision': 0.8646458967956177, 'recall': 0.7796623765195664, 'f1-score': 0.8052887305972054, 'support': 2161}, 'weighted avg': {'precision': 0.8557711416332171, 'recall': 0.8509949097639982, 'f1-score': 0.841303628221469, 'support': 2161}}",0.8258832693099976
200,20,P551,"(38541, 25)","(1834, 25)","{0.0: 28641, 1.0: 9900}","{1.0: 1518, 0.0: 316}",0.8225013613700867,0.8148761987686157,0.8225013613700867,0.8225013613700867,"[[ 186  127]
 [ 198 1320]]","{'0': {'precision': 0.484375, 'recall': 0.5942492012779552, 'f1-score': 0.533715925394548, 'support': 313}, '1': {'precision': 0.912232204561161, 'recall': 0.8695652173913043, 'f1-score': 0.8903878583473861, 'support': 1518}, 'accuracy': 0.8225013653741126, 'macro avg': {'precision': 0.6983036022805805, 'recall': 0.7319072093346297, 'f1-score': 0.7120518918709671, 'support': 1831}, 'weighted avg': {'precision': 0.8390922236613012, 'recall': 0.8225013653741126, 'f1-score': 0.8294166322336567, 'support': 1831}}",0.6735876798629761
200,20,P623,"(39336, 25)","(1039, 25)","{0.0: 27918, 1.0: 11418}",{0.0: 1039},1.0,1.0,1.0,1.0,"[[1036    0]
 [   0    0]]","{'0': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 1036}, 'accuracy': 1.0, 'macro avg': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 1036}, 'weighted avg': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 1036}}",0.027664674445986748
200,20,P645,"(38746, 25)","(1629, 25)","{0.0: 27328, 1.0: 11418}",{0.0: 1629},0.9661746621131897,0.9669471383094788,0.9661746621131897,0.9661746621131897,"[[1571   55]
 [   0    0]]","{'0': {'precision': 1.0, 'recall': 0.9661746617466175, 'f1-score': 0.9827963715983734, 'support': 1626}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0}, 'accuracy': 0.9661746617466175, 'macro avg': {'precision': 0.5, 'recall': 0.48308733087330874, 'f1-score': 0.4913981857991867, 'support': 1626}, 'weighted avg': {'precision': 1.0, 'recall': 0.9661746617466175, 'f1-score': 0.9827963715983734, 'support': 1626}}",0.10692861676216125
